RENT_NM,RENT_TYPE,STATION_NO,STATION_NAME,GENDER_CD,AGE_TYPE,USE_CNT,EXER_AMT,CARBON_AMT,MOVE_METER,MOVE_TIME,START_INDEX,END_INDEX,RNUM
202308,정기권,00108,108. 서교동 사거리,,~10대,3,127.01,1.03,4474.03,89,0,0,1
202308,정기권,00109,109. 제일빌딩 앞,,~10대,1,92.03,0.73,3140.62,26,0,0,67
202308,정기권,00112,112. 극동방송국 앞,,~10대,5,608.25,5.41,23333.66,171,0,0,321
202308,정기권,00113,113. 홍대입구역 2번출구 앞,,~10대,12,753.00,5.79,24852.26,242,0,0,420
202308,정기권,00114,114. 홍대입구역 8번출구 앞,,~10대,6,316.85,2.90,12526.75,92,0,0,518
202308,정기권,00115,115. 마스타 빌딩 앞,,~10대,2,123.05,0.95,4099.01,19,0,0,115
202308,정기권,00117,117. 홍은사거리,,~10대,4,134.05,1.52,6547.25,85,0,0,375
202308,정기권,00118,118. 광흥창역 2번출구 앞,,~10대,1,163.58,1.35,5818.04,37,0,0,475
202308,정기권,00121,121. 마포소방서 앞,,~10대,1,8.43,0.08,327.39,17,0,0,679
202308,정기권,00123,123. 문화촌 공원,,~10대,11,988.11,9.30,40047.66,261,0,0,762
202308,정기권,00143,143. 공덕역 2번출구,,~10대,1,37.26,0.34,1470.00,8,0,0,527
202308,정기권,00144,144. 공덕역 8번출구,,~10대,4,219.97,3.23,13880.00,60,0,0,535
202308,정기권,00146,146. 마포역 2번출구 뒤,,~10대,3,514.46,4.98,21442.12,124,0,0,550
202308,정기권,00147,147. 마포역 4번출구 뒤,,~10대,9,503.95,4.03,17385.37,115,0,0,560
202308,정기권,00148,148. 용강동 주민센터 앞,,~10대,2,362.93,4.01,17292.58,87,0,0,567
202308,정기권,00150,150. 서강대역 2번출구 앞,,~10대,3,119.33,0.98,4227.25,36,0,0,573
202308,정기권,00155,155. 가좌역1 번출구 앞,,~10대,4,149.09,1.28,5513.11,119,0,0,598
202308,정기권,00157,157. 애오개역 4번출구 앞,,~10대,2,221.05,2.08,8970.00,66,0,0,606
202308,정기권,00159,159. 이대역 4번 출구,,~10대,3,44.77,0.42,1787.89,27,0,0,613
202308,정기권,00160,160. 북아현동 가구거리,,~10대,3,705.94,5.58,24090.00,109,0,0,619
202308,정기권,00166,166. 가재울 초등학교,,~10대,2,479.18,3.34,14405.51,97,0,0,637
202308,정기권,00173,173. 서대문역 8번출구 앞,,~10대,1,112.27,1.32,5670.00,44,0,0,680
202308,정기권,00175,175. 홍연2교옆,,~10대,4,281.40,2.31,9970.05,43,0,0,684
202308,정기권,00179,179. 가좌역 4번출구 앞,,~10대,2,66.03,0.61,2640.23,24,0,0,687
202308,정기권,00180,180. 충정로역 7번출구 아래,,~10대,3,224.10,1.54,6658.00,36,0,0,693
202308,정기권,00227,227. 양평2나들목 보행통로 입구,,~10대,15,861.06,8.49,36586.15,257,0,0,912
202308,정기권,00228,228. 선유도역 3번출구 앞,,~10대,37,717.54,7.80,33646.14,225,0,0,920
202308,정기권,00229,229. 양평1 보행육교 앞,,~10대,1,29.44,0.27,1180.00,6,0,0,925
202308,정기권,00231,231. 남부고용노동지청 남측,,~10대,6,444.89,3.52,15203.18,150,0,0,934
202308,정기권,00232,232. 양평우림 이비즈센타 앞,,~10대,20,930.74,9.13,39389.58,325,0,0,940
202308,정기권,00234,234. 영등포구민체육센터 앞,,~10대,11,141.21,1.62,6991.57,71,0,0,950
202308,정기권,00235,235. 신길동 우리은행 옆,,~10대,3,148.63,1.33,5774.22,61,0,0,957
202308,정기권,00236,236. 문래동자이아파트 앞,,~10대,9,206.43,1.90,8177.02,61,0,0,961
202308,정기권,00238,238. 제2구민체육센타 앞,,~10대,4,248.38,2.29,9844.57,57,0,0,976
202308,정기권,00239,239. 유스호스텔 앞,,~10대,3,105.89,1.18,5099.68,47,0,0,983
202308,정기권,00240,240. 문래역 4번출구 앞,,~10대,12,393.84,3.68,15890.99,118,0,0,991
202308,정기권,00241,241. 신길우성1차아파트 앞 공원,,~10대,2,18.41,0.23,1010.63,10,0,0,993
202308,정기권,00275,275. 신동아아파트,,~10대,26,1015.44,9.66,41590.42,364,0,0,178
202308,정기권,00278,278. 쌍용플레티넘오피스텔,,~10대,5,274.17,2.47,10651.71,93,0,0,179
202308,정기권,00279,279. 영등포 푸르지오 아파트 B,,~10대,9,306.74,2.74,11791.95,80,0,0,200
202308,정기권,00280,280. 양평동6차현대아파트 앞,,~10대,11,291.96,2.95,12736.59,115,0,0,295
202308,정기권,00281,281. 대림신동아아파트 앞,,~10대,6,148.27,1.41,6112.74,53,0,0,296
202308,정기권,00284,284. 센트럴 푸르지오 시티 앞,,~10대,5,208.27,2.19,9415.86,84,0,0,350
202308,정기권,00287,287. 영등포전화국사거리 (서강어린이공원),,~10대,1,160.38,1.74,7500.00,50,0,0,351
202308,정기권,00288,288. 쌍용예가(구청별관),,~10대,31,330.96,3.10,13265.63,85,0,0,362
202308,정기권,00289,289. 대림3동사거리,,~10대,13,224.01,2.13,9180.59,60,0,0,373
202308,정기권,00290,290. 새말소공원,,~10대,4,83.64,0.70,2980.96,61,0,0,374
202308,정기권,00292,292. 영일 어린이공원,,~10대,16,407.23,3.63,15654.79,152,0,0,376
202308,정기권,00293,293. 충북 미래관,,~10대,1,18.85,0.20,850.00,3,0,0,377
202308,정기권,00295,295.영등포공원 분수대 앞,,~10대,1,32.92,0.30,1278.75,6,0,0,498
202308,정기권,00300,300. 정동사거리,,~10대,3,57.74,0.60,2584.46,19,0,0,98
202308,정기권,00303,303. 광화문역 1번출구 앞,,~10대,8,717.94,6.97,30064.69,193,0,0,107
202308,정기권,00305,305. 종로구청 옆,,~10대,1,18.76,0.27,1155.35,24,0,0,120
202308,정기권,00307,307. 서울역사박물관 앞,,~10대,4,77.70,0.88,3801.99,36,0,0,134
202308,정기권,00308,308. 광화문 S타워 앞,,~10대,1,28.27,0.19,840.00,5,0,0,140
202308,정기권,00309,309. 광화문역 6번출구 옆 B,,~10대,1,18.56,0.27,1143.41,8,0,0,146
202308,정기권,00318,318. 광교사거리 남측,,~10대,2,48.56,0.49,2090.59,25,0,0,190
202308,정기권,00328,328. 탑골공원 앞,,~10대,1,102.97,0.71,3058.99,45,0,0,239
202308,정기권,00335,335. 종로3가역 15번출구 앞,,~10대,1,34.37,0.32,1400.00,19,0,0,280
202308,정기권,00336,336. 충무로역 6번출구 앞,,~10대,2,40.28,1.11,4775.67,32,0,0,286
202308,정기권,00337,337. 창경궁 입구,,~10대,1,12.03,0.12,506.15,6,0,0,293
202308,정기권,00340,340. 혜화동 로터리,,~10대,14,335.83,3.77,16217.24,93,0,0,303
202308,정기권,00342,342. 대학로 마로니에공원,,~10대,1,0.00,0.00,0.00,1,0,0,308
202308,정기권,00343,343. 예일빌딩(율곡로) 앞,,~10대,1,217.04,2.45,10540.00,67,0,0,315
202308,정기권,00346,346. 맥스타일 앞,,~10대,3,253.34,3.03,13056.10,64,0,0,329
202308,정기권,00347,347. 동대문역사문화공원역 9번출구 앞,,~10대,3,201.44,2.44,10532.82,61,0,0,337
202308,정기권,00349,349. 어린이도서관,,~10대,3,75.98,1.09,4680.00,30,0,0,349
202308,정기권,00358,358. 성균관대입구 사거리 A,,~10대,15,302.38,2.96,12726.64,94,0,0,397
202308,정기권,00359,359. 원남동사거리,,~10대,1,167.64,1.64,7055.55,51,0,0,404
202308,정기권,00361,361. 동묘앞역 1번출구 뒤,,~10대,4,74.44,0.73,3156.84,22,0,0,405
202308,정기권,00363,363. 신설동역 11번출구 뒤,,~10대,1,11.12,0.13,540.00,7,0,0,409
202308,정기권,00368,368. SK 서린빌딩 앞,,~10대,1,12.49,0.16,670.90,7,0,0,423
202308,정기권,00372,372. 약수역 3번출구 뒤,,~10대,15,759.16,6.78,29263.87,197,0,0,458
202308,정기권,00374,374. 청구역 2번출구 앞,,~10대,15,630.11,6.57,28454.17,185,0,0,473
202308,정기권,00379,379. 서울역9번출구,,~10대,1,153.49,1.32,5700.00,27,0,0,488
202308,정기권,00380,380. CJ제일제당 앞,,~10대,2,85.90,0.74,3190.00,14,0,0,490
202308,정기권,00382,382. 약수역 10번출구 앞,,~10대,1,13.01,0.24,1026.36,7,0,0,499
202308,정기권,00383,383. 신당역 12번 출구 뒤,,~10대,12,451.92,5.15,22218.88,148,0,0,506
202308,정기권,00393,393. 동대문역 8번 출구,,~10대,2,130.95,1.96,8475.00,57,0,0,205
202308,정기권,00399,399. 서울역 센트럴 자이아파트,,~10대,1,8.28,0.12,510.00,8,0,0,237
202308,정기권,00400,400. 상암한화오벨리스크 1차 앞,,~10대,4,146.28,1.61,6930.00,71,0,0,68
202308,정기권,00427,427. 성산시영아파트,,~10대,4,170.63,1.60,6935.63,137,0,0,217
202308,정기권,00428,428. 명보사거리,,~10대,1,122.93,1.39,5970.00,52,0,0,238
202308,정기권,00434,434. 신당 래미안 버스정류장,,~10대,14,378.20,2.86,12403.77,80,0,0,358
202308,정기권,00437,437. 대흥역 1번출구,,~10대,2,67.48,0.88,3786.54,30,0,0,371
202308,정기권,00454,454. 종로2가 버스정류장 (종각방향),,~10대,4,197.75,1.37,5875.21,62,0,0,323
202308,정기권,00455,455. 종로6가역 버스정류장(동대문 방향),,~10대,1,126.32,0.74,3190.00,39,0,0,324
202308,정기권,00456,456. 숭인2동 주민센터 입구,,~10대,1,9.90,0.09,384.66,4,0,0,325
202308,정기권,00458,458. 광화문역 5번출구,,~10대,1,93.10,0.91,3918.37,19,0,0,326
202308,정기권,00461,461. 서울지방경찰청,,~10대,2,202.17,1.97,8509.05,52,0,0,328
202308,정기권,00468,468.웨스틴 조선호텔,,~10대,1,154.18,1.39,5990.00,36,0,0,410
202308,정기권,00470,470.회현역 7번출구,,~10대,1,76.07,0.52,2260.00,33,0,0,411
202308,정기권,00474,474.동대문역사문화공원역 1번출구 뒤편,,~10대,9,737.00,7.53,32391.24,234,0,0,412
202308,정기권,00476,476.광희문,,~10대,2,99.19,1.36,5859.43,43,0,0,413
202308,정기권,00480,480.약수역 6번 출구,,~10대,4,67.14,0.60,2608.30,60,0,0,414
202308,정기권,00485,485.서울역5번출구,,~10대,1,127.12,1.49,6420.00,29,0,0,415
202308,정기권,00487,487.신석초교앞 교차로 교통섬,,~10대,1,27.40,0.23,988.28,5,0,0,607
202308,정기권,00488,488.푸르메병원,,~10대,33,1081.24,9.35,40310.81,665,0,0,608
202308,정기권,00489,489.구룡근린공원,,~10대,3,38.27,0.36,1558.80,81,0,0,609
202308,정기권,00490,490.가온문화공원,,~10대,4,412.84,4.68,20150.00,81,0,0,610
202308,정기권,00497,497.합정동주민센터 앞,,~10대,4,263.40,2.71,11644.17,87,0,0,611
202308,정기권,00498,498.연남동주민센터 앞,,~10대,3,294.40,2.17,9383.75,47,0,0,612
202308,정기권,00505,505. 자양사거리 광진아크로텔 앞,,~10대,15,683.72,5.94,25533.65,454,0,0,18
202308,정기권,00508,508. 성수아카데미타워 앞,,~10대,1,150.25,1.35,5837.04,34,0,0,36
202308,정기권,00509,509. 이마트 버스정류소 옆,,~10대,2,41.56,0.37,1614.59,80,0,0,41
202308,정기권,00510,510. 서울숲 남문 버스정류소 옆,,~10대,14,1110.41,10.85,46737.85,491,0,0,49
202308,정기권,00512,512. 뚝섬역 1번 출구 옆,,~10대,10,816.78,5.72,24690.32,169,0,0,60
202308,정기권,00513,513. 뚝섬역 5번 출구 정류소 옆,,~10대,2,38.04,0.34,1477.93,12,0,0,72
202308,정기권,00514,514. 성수사거리 버스정류장 앞,,~10대,1,33.36,0.44,1914.73,12,0,0,78
202308,정기권,00515,515. 광양중학교 앞,,~10대,2,892.86,8.12,35008.93,34,0,0,86
202308,정기권,00519,519. 양지사거리,,~10대,1,27.59,0.31,1340.00,9,0,0,702
202308,정기권,00520,520. 상왕십리역 4번 출구 앞,,~10대,1,85.73,0.76,3280.00,14,0,0,705
202308,정기권,00521,521. 왕십리역 11번 출구 앞,,~10대,2,90.02,0.80,3480.00,21,0,0,708
202308,정기권,00525,525. 한양대병원사거리,,~10대,4,491.39,5.40,23246.82,129,0,0,718
202308,정기권,00533,533. 금남시장 교차로,,~10대,8,1583.58,13.45,57955.72,339,0,0,732
202308,정기권,00535,535. 응봉삼거리,,~10대,6,490.13,4.41,19041.59,94,0,0,741
202308,정기권,00537,537. 한양대후문역 부근,,~10대,2,94.75,0.86,3730.00,28,0,0,756
202308,정기권,00538,538. 답십리역 8번출구 앞,,~10대,7,190.10,1.72,7407.12,76,0,0,763
202308,정기권,00539,539. 군자교교차로,,~10대,1,21.16,0.22,954.25,8,0,0,774
202308,정기권,00540,540. 군자역 7번출구 베스트샵 앞,,~10대,8,374.93,3.30,14230.35,144,0,0,777
202308,정기권,00542,542. 강변역 4번출구 뒤,,~10대,1,89.30,1.31,5637.50,36,0,0,786
202308,정기권,00543,543. 구의공원(테크노마트 앞),,~10대,4,397.98,3.69,15947.45,87,0,0,793
202308,정기권,00544,544. 광남중학교,,~10대,8,270.35,2.64,11378.40,77,0,0,799
202308,정기권,00546,546. 잠실대교북단 교차로,,~10대,13,233.92,2.12,9087.95,56,0,0,806
202308,정기권,00548,548. 자양나들목,,~10대,2,276.59,2.27,9801.62,65,0,0,811
202308,정기권,00549,549. 아차산역 3번출구,,~10대,10,393.17,3.41,14712.14,207,0,0,816
202308,정기권,00550,550. 서울시설공단 앞,,~10대,1,33.09,0.28,1193.59,6,0,0,770
202308,정기권,00602,602. 장안동 사거리,,~10대,28,1514.83,14.72,63338.14,537,0,0,828
202308,정기권,00605,605. 신설동역8번출구,,~10대,7,103.83,0.98,4253.89,36,0,0,840
202308,정기권,00607,607. 신이문역 2번출구,,~10대,4,348.05,2.80,12013.36,126,0,0,845
202308,정기권,00608,608. 전농삼성아파트,,~10대,4,169.75,1.69,7265.28,36,0,0,847
202308,정기권,00609,609. 제기2교,,~10대,3,88.52,0.97,4170.69,73,0,0,852
202308,정기권,00610,610. 동대문중 교차로,,~10대,2,29.97,0.83,3566.46,29,0,0,857
202308,정기권,00612,612. 시립동부병원 앞 사거리,,~10대,52,1029.49,9.71,41784.11,487,0,0,866
202308,정기권,00613,613. 신설동역 10번출구 앞,,~10대,4,58.64,0.62,2640.12,19,0,0,876
202308,정기권,00614,614. 용두동 사거리,,~10대,25,765.02,9.60,41324.34,732,0,0,881
202308,정기권,00615,615. 용두동 래미안허브리츠아파트 앞,,~10대,12,417.78,3.77,16835.96,824,0,0,890
202308,정기권,00616,616. 서울시립대 정문 앞 A,,~10대,3,205.96,1.56,6733.78,88,0,0,896
202308,정기권,00647,647. 신이문역 1번출구,,~10대,1,83.81,0.94,4070.00,29,0,0,170
202308,정기권,00648,648. 장안동위더스빌옆,,~10대,36,2370.51,16.49,71118.03,555,0,0,171
202308,정기권,00650,650. 중랑교사거리,,~10대,1,70.69,0.59,2550.04,16,0,0,172
202308,정기권,00654,654. 전농동 텃골공원,,~10대,6,141.56,1.46,6321.44,36,0,0,243
